station,date_dep,date_ret,month,year,t_vol_ml,t_wt_g,status,recorder,drill_cnt,crab_cnt
wq1,4/17/2018,6/8/2018,April,2018,240,431,RETR,SB,0,-999
wq2,4/17/2018,6/8/2018,April,2018,220,456,LOST,SB,0,-999
wq3,4/17/2018,6/8/2018,April,2018,190,433,RETR,SB,0,-999
wq4,4/17/2018,6/8/2018,April,2018,230,449,RETR,SB,0,-999
wq5,4/17/2018,6/8/2018,April,2018,200,418,RETR,SB,0,-999
wq6,4/17/2018,6/8/2018,April,2018,215,437,RETR,SB,0,-999
wq7,4/17/2018,6/8/2018,April,2018,230,456,RETR,SB,0,-999
wq8,4/17/2018,6/8/2018,April,2018,210,452,RETR,SB,0,-999
wq9,4/17/2018,6/8/2018,April,2018,200,450,RETR,SB,0,-999
wq1,6/8/2018,7/9/2018,June,2018,175,370,RETR,SL,0,-999
wq2,6/8/2018,7/9/2018,June,2018,250,469,RETR,SL,0,-999
wq3,6/8/2018,7/9/2018,June,2018,150,314,RETR,SL,0,-999
wq4,6/8/2018,7/9/2018,June,2018,225,436,RETR,SL,0,-999
wq5,6/8/2018,7/9/2018,June,2018,175,332,RETR,SL,0,-999
wq6,6/8/2018,7/9/2018,June,2018,150,318,RETR,SL,0,-999
wq7,6/8/2018,7/9/2018,June,2018,105,258,RETR,SL,0,-999
wq8,6/8/2018,7/9/2018,June,2018,150,310,RETR,SL,0,-999
wq9,6/8/2018,7/9/2018,June,2018,175,434,RETR,SL,0,-999
wq1,-999,-999,N_A,-999,-999,-999,RMVD,SB,-999,-999
wq2,-999,-999,N_A,-999,-999,-999,RMVD,SB,-999,-999
wq3,7/9/2018,8/6/2018,July,2018,165,315,RETR,SB,3,11
wq4,7/9/2018,8/6/2018,July,2018,215,408,RETR,SB,0,23
wq5,7/9/2018,8/6/2018,July,2018,240,450,RETR,SB,0,11
wq6,7/9/2018,8/6/2018,July,2018,190,387,RETR,SB,0,0
wq7,7/9/2018,8/6/2018,July,2018,215,426,RETR,SB,0,6
wq8,7/9/2018,8/6/2018,July,2018,165,374,RETR,SB,0,1
wq9,7/9/2018,8/6/2018,July,2018,190,362,RETR,SB,0,0
wq1,8/6/2018,9/5/2018,August,2018,190,324,RETR,SB,,
wq2,-999,-999,N_A,-999,-999,-999,RMVD,SB,-999,-999
wq3,8/6/2018,9/5/2018,August,2018,240,392,RETR,SB,,
wq4,8/6/2018,9/5/2018,August,2018,215,377,RETR,SB,,
wq5,8/6/2018,9/5/2018,August,2018,240,387,RETR,SB,,
wq6,8/6/2018,9/5/2018,August,2018,240,435,RETR,SB,,
wq7,8/6/2018,9/5/2018,August,2018,265,456,RETR,SB,,
wq8,8/6/2018,9/5/2018,August,2018,265,470,RETR,SB,,
wq9,8/6/2018,9/5/2018,August,2018,215,356,RETR,SB,,
wq1,9/5/2018,,,,165,290,,SB,,
wq2,9/5/2018,,,,190,375,,SB,,
wq3,9/5/2018,,,,165,299,,SB,,
wq4,9/5/2018,,,,215,405,,SB,,
wq5,9/5/2018,,,,215,413,,SB,,
wq6,9/5/2018,,,,165,314,,SB,,
wq7,9/5/2018,,,,190,319,,SB,,
wq8,9/5/2018,,,,190,395,,SB,,
wq9,9/5/2018,,,,190,356,,SB,,
