,SEG,ELEMENT,LENGTH,START_X,START_Y,TRANS_NUM,TOT_LEN,,,,,
1,26,str1,22,294830.509,3238750.773,5,110,,,,,
2,32,str1,22,294942.0013,3238634.698,1,22,,,,,
3,19,str1,22,295026.7623,3238588.838,3,66,,,,,
4,6,str1,22,295455.9826,3238032.784,5,110,,,,,
5,14,str1,22,295240.3202,3238286.631,2,44,,,,,70
6,31,str1,22,294920.8002,3238651.689,2,44,,,,,
7,38,str1,22,294623.3532,3238942.068,4,88,,,,,
8,33,str1,22,294706.8367,3238847.251,2,44,,,,,
9,11,str1,22,295314.4128,3238196.611,5,110,,,,,
10,22,str1,22,295084.284,3238533.752,2,44,,,,,
11,12,str1,22,295331.8131,3238175.745,5,110,,,,,
12,37,str1,22,294685.8613,3238889.9,2,44,,,,,
13,16,str1,22,295164.9417,3238423.31,2,44,,,,,
14,2,str1,22,295382.8691,3238113.191,4,88,,,,,
15,39,str1,22,294629.3078,3238915.559,4,88,,,,,
16,27,str1,22,294850.71,3238732.749,1,22,,,,,
17,5,str1,22,295437.7043,3238052.885,2,44,,,,,
18,36,str1,22,294683.7932,3238916.991,4,88,,,,,
19,17,str1,22,295182.8381,3238402.868,3,66,,,,,
20,4,str1,22,295419.4259,3238072.987,4,88,,,,,
21,8,str1,22,295260.5625,3238257.354,1,22,,,,,
22,10,str1,22,295296.1375,3238216.676,1,22,,,,,
23,24,str1,22,295106.7122,3238484.633,3,66,,,,,
24,9,str1,22,295276.868,3238235.83,2,44,,,,,
25,3,str1,22,295401.1475,3238093.089,4,88,,,,,
26,28,str1,22,294868.2554,3238712.264,2,44,,,,,
27,34,str1,22,294724.7723,3238826.843,2,44,,,,,
28,40,str1,22,294592.7542,3238982.222,1,22,,,,,
29,35,str1,22,294681.7251,3238944.082,5,110,,,,,
30,15,str1,22,295147.0453,3238443.753,4,88,,,,,
31,7,str1,22,295474.261,3238012.682,2,44,,,,,
32,18,str1,22,295003.6349,3238603.097,3,66,,,,,
33,1,str1,22,295364.6028,3238133.302,2,44,,,,,
34,41,str1,22,294543.3495,3239025.25,2,44,,,,,
35,25,str1,22,294808.4493,3238766.633,5,110,,,,,
36,29,str1,22,294881.0141,3238688.276,2,44,,,,,
37,13,str1,22,295232.2622,3238312.578,5,110,,,,,
38,30,str1,22,294899.5992,3238668.68,2,44,,,,,
39,21,str1,22,295069.1958,3238555.305,4,88,,,,,
40,20,str1,22,295049.3074,3238573.815,2,44,,,,,
41,23,str1,22,295093.3504,3238508.208,3,66,,,,,
