"","station","sample","fam_code","sp_code","total","fam_sp"
"1","B1",1,"AMPE","AMSP",3,"AMPE AMSP"
"2","B1",1,"ANTH","CYPO",7,"ANTH CYPO"
"3","B1",1,"CAPI","N_A",2,"CAPI N_A"
"4","B1",1,"CIRR","THSP",1,"CIRR THSP"
"5","B1",1,"ISCH","CESP",32,"ISCH CESP"
"6","B1",1,"MYTI","AMPA",11,"MYTI AMPA"
"7","B1",1,"OLIG","N_A",7,"OLIG N_A"
"8","B1",1,"PARA","ARSP",2,"PARA ARSP"
"9","B1",2,"AMPE","AMSP",2,"AMPE AMSP"
"10","B1",2,"ANTH","CYPO",6,"ANTH CYPO"
"11","B1",2,"CAPI","N_A",3,"CAPI N_A"
"12","B1",2,"SPIO","PAPI",1,"SPIO PAPI"
"13","B1",3,"AMPE","AMSP",8,"AMPE AMSP"
"14","B1",3,"ANTH","CYPO",9,"ANTH CYPO"
"15","B1",3,"ISCH","CESP",1,"ISCH CESP"
"16","B1",3,"MYTI","AMPA",1,"MYTI AMPA"
"17","B1",3,"OLIG","N_A",7,"OLIG N_A"
"18","B1",3,"SPIO","PAPI",2,"SPIO PAPI"
"19","B10",1,"AMPE","AMSP",1,"AMPE AMSP"
"20","B10",1,"ANTH","CYPO",2,"ANTH CYPO"
"21","B10",1,"LUCI","PAMU",8,"LUCI PAMU"
"22","B10",2,"AMPE","AMSP",1,"AMPE AMSP"
"23","B10",2,"ANTH","CYPO",1,"ANTH CYPO"
"24","B10",2,"LUCI","PAMU",7,"LUCI PAMU"
"25","B10",3,"LUCI","PAMU",3,"LUCI PAMU"
"26","B11",1,"LUCI","PAMU",7,"LUCI PAMU"
"27","B11",2,"AMPE","AMSP",2,"AMPE AMSP"
"28","B11",2,"CIRR","THSP",1,"CIRR THSP"
"29","B11",2,"LUCI","PAMU",54,"LUCI PAMU"
"30","B11",3,"AMPE","AMSP",3,"AMPE AMSP"
"31","B11",3,"ANTH","CYPO",1,"ANTH CYPO"
"32","B11",3,"LUCI","PAMU",153,"LUCI PAMU"
"33","B11",3,"SPIO","PAPI",1,"SPIO PAPI"
"34","B12",1,"LUCI","PAMU",57,"LUCI PAMU"
"35","B12",1,"SPIO","PAPI",1,"SPIO PAPI"
"36","B12",2,"AMPI","N_A",1,"AMPI N_A"
"37","B12",2,"CIRR","THSP",1,"CIRR THSP"
"38","B12",2,"MYTI","AMPA",1,"MYTI AMPA"
"39","B12",2,"SPIO","PAPI",1,"SPIO PAPI"
"40","B12",3,"AMPE","AMSP",1,"AMPE AMSP"
"41","B12",3,"LUCI","PAMU",67,"LUCI PAMU"
"42","B12",3,"SPIO","PAPI",2,"SPIO PAPI"
"43","B13",1,"AMPI","N_A",1,"AMPI N_A"
"44","B13",1,"LUCI","PAMU",27,"LUCI PAMU"
"45","B13",2,"AMPI","N_A",1,"AMPI N_A"
"46","B13",2,"CAPI","N_A",2,"CAPI N_A"
"47","B13",2,"CIRR","THSP",2,"CIRR THSP"
"48","B13",2,"LUCI","PAMU",25,"LUCI PAMU"
"49","B13",3,"AMPI","N_A",3,"AMPI N_A"
"50","B13",3,"CIRR","THSP",2,"CIRR THSP"
"51","B13",3,"LUCI","PAMU",48,"LUCI PAMU"
"52","B13",3,"PARA","ARSP",1,"PARA ARSP"
"53","B14",1,"AMPE","AMSP",2,"AMPE AMSP"
"54","B14",1,"AMPI","N_A",8,"AMPI N_A"
"55","B14",1,"CAPI","N_A",3,"CAPI N_A"
"56","B14",1,"CIRR","THSP",3,"CIRR THSP"
"57","B14",1,"LUCI","PAMU",5,"LUCI PAMU"
"58","B14",1,"OWEN","OWSP",39,"OWEN OWSP"
"59","B14",2,"AMPE","AMSP",5,"AMPE AMSP"
"60","B14",2,"AMPI","N_A",5,"AMPI N_A"
"61","B14",2,"ANTH","CYPO",1,"ANTH CYPO"
"62","B14",2,"CIRR","THSP",3,"CIRR THSP"
"63","B14",2,"LUCI","PAMU",7,"LUCI PAMU"
"64","B14",2,"OWEN","OWSP",23,"OWEN OWSP"
"65","B14",2,"PARA","ARSP",2,"PARA ARSP"
"66","B14",2,"SPIO","PAPI",4,"SPIO PAPI"
"67","B14",3,"AMPE","AMSP",5,"AMPE AMSP"
"68","B14",3,"AMPI","N_A",1,"AMPI N_A"
"69","B14",3,"CAPI","N_A",1,"CAPI N_A"
"70","B14",3,"LUCI","PAMU",8,"LUCI PAMU"
"71","B14",3,"OWEN","OWSP",9,"OWEN OWSP"
"72","B14",3,"SPIO","PAPI",2,"SPIO PAPI"
"73","B2",1,"AMPE","AMSP",2,"AMPE AMSP"
"74","B2",1,"ANTH","CYPO",1,"ANTH CYPO"
"75","B2",1,"ISCH","CESP",1,"ISCH CESP"
"76","B2",1,"LUCI","PAMU",42,"LUCI PAMU"
"77","B2",1,"OLIG","N_A",2,"OLIG N_A"
"78","B2",1,"PARA","ARSP",5,"PARA ARSP"
"79","B2",2,"AMPE","AMSP",2,"AMPE AMSP"
"80","B2",2,"ANTH","CYPO",6,"ANTH CYPO"
"81","B2",2,"LUCI","PAMU",72,"LUCI PAMU"
"82","B2",2,"PARA","ARSP",10,"PARA ARSP"
"83","B2",3,"AMPE","AMSP",1,"AMPE AMSP"
"84","B2",3,"CAPI","N_A",1,"CAPI N_A"
"85","B2",3,"ISCH","CESP",1,"ISCH CESP"
"86","B2",3,"LUCI","PAMU",17,"LUCI PAMU"
"87","B2",3,"PARA","ARSP",7,"PARA ARSP"
"88","B3",1,"AMPE","AMSP",16,"AMPE AMSP"
"89","B3",1,"AMPI","N_A",2,"AMPI N_A"
"90","B3",1,"CAPI","N_A",3,"CAPI N_A"
"91","B3",1,"LUCI","PAMU",22,"LUCI PAMU"
"92","B3",1,"PARA","ARSP",1,"PARA ARSP"
"93","B3",1,"SPIO","PAPI",3,"SPIO PAPI"
"94","B3",2,"ISCH","CESP",1,"ISCH CESP"
"95","B3",2,"LUCI","PAMU",15,"LUCI PAMU"
"96","B3",2,"OLIG","N_A",3,"OLIG N_A"
"97","B3",2,"OWEN","OWSP",11,"OWEN OWSP"
"98","B3",2,"PARA","ARSP",1,"PARA ARSP"
"99","B3",3,"AMPI","N_A",4,"AMPI N_A"
"100","B3",3,"CAPI","N_A",1,"CAPI N_A"
"101","B3",3,"LUCI","PAMU",11,"LUCI PAMU"
"102","B3",3,"SPIO","PAPI",2,"SPIO PAPI"
"103","B4",1,"CAPI","N_A",1,"CAPI N_A"
"104","B4",1,"CIRR","THSP",1,"CIRR THSP"
"105","B4",1,"LUCI","PAMU",5,"LUCI PAMU"
"106","B4",1,"MYTI","AMPA",3,"MYTI AMPA"
"107","B4",1,"SPIO","PAPI",1,"SPIO PAPI"
"108","B4",2,"AMPE","AMSP",12,"AMPE AMSP"
"109","B4",2,"CAPI","N_A",3,"CAPI N_A"
"110","B4",2,"CIRR","THSP",4,"CIRR THSP"
"111","B4",2,"LUCI","PAMU",10,"LUCI PAMU"
"112","B4",3,"CIRR","THSP",1,"CIRR THSP"
"113","B4",3,"LUCI","PAMU",6,"LUCI PAMU"
"114","B5",1,"AMPE","AMSP",1,"AMPE AMSP"
"115","B5",1,"LUCI","PAMU",5,"LUCI PAMU"
"116","B5",2,"AMPE","AMSP",1,"AMPE AMSP"
"117","B5",2,"CIRR","THSP",1,"CIRR THSP"
"118","B5",2,"LUCI","PAMU",10,"LUCI PAMU"
"119","B5",3,"LUCI","PAMU",5,"LUCI PAMU"
"120","B5",3,"MYTI","AMPA",1,"MYTI AMPA"
"121","B5",3,"SPIO","PAPI",1,"SPIO PAPI"
"122","B6",1,"AMPE","AMSP",7,"AMPE AMSP"
"123","B6",1,"MYTI","AMPA",3,"MYTI AMPA"
"124","B6",1,"OLIG","N_A",1,"OLIG N_A"
"125","B6",1,"PARA","ARSP",1,"PARA ARSP"
"126","B6",1,"SPIO","PAPI",1,"SPIO PAPI"
"127","B6",2,"AMPE","AMSP",14,"AMPE AMSP"
"128","B6",2,"CIRR","THSP",1,"CIRR THSP"
"129","B6",2,"ISCH","CESP",6,"ISCH CESP"
"130","B6",2,"MYTI","AMPA",4,"MYTI AMPA"
"131","B6",2,"OLIG","N_A",2,"OLIG N_A"
"132","B6",2,"SPIO","PAPI",1,"SPIO PAPI"
"133","B6",3,"AMPE","AMSP",3,"AMPE AMSP"
"134","B6",3,"ISCH","CESP",2,"ISCH CESP"
"135","B6",3,"MYTI","AMPA",1,"MYTI AMPA"
"136","B6",3,"OLIG","N_A",6,"OLIG N_A"
"137","B6",3,"PARA","ARSP",5,"PARA ARSP"
"138","B7",1,"AMPE","AMSP",30,"AMPE AMSP"
"139","B7",1,"OLIG","N_A",2,"OLIG N_A"
"140","B7",2,"AMPE","AMSP",58,"AMPE AMSP"
"141","B7",2,"ANTH","CYPO",5,"ANTH CYPO"
"142","B7",2,"MYTI","AMPA",2,"MYTI AMPA"
"143","B7",2,"SPIO","PAPI",1,"SPIO PAPI"
"144","B7",3,"AMPE","AMSP",82,"AMPE AMSP"
"145","B7",3,"ANTH","CYPO",1,"ANTH CYPO"
"146","B7",3,"CAPI","N_A",2,"CAPI N_A"
"147","B7",3,"MYTI","AMPA",2,"MYTI AMPA"
"148","B8",1,"AMPE","AMSP",20,"AMPE AMSP"
"149","B8",1,"LUCI","PAMU",13,"LUCI PAMU"
"150","B8",1,"OLIG","N_A",2,"OLIG N_A"
"151","B8",2,"AMPE","AMSP",27,"AMPE AMSP"
"152","B8",2,"LUCI","PAMU",6,"LUCI PAMU"
"153","B8",2,"OLIG","N_A",4,"OLIG N_A"
"154","B8",2,"PARA","ARSP",1,"PARA ARSP"
"155","B8",2,"SPIO","PAPI",2,"SPIO PAPI"
"156","B8",3,"AMPE","AMSP",70,"AMPE AMSP"
"157","B8",3,"LUCI","PAMU",4,"LUCI PAMU"
"158","B8",3,"PARA","ARSP",1,"PARA ARSP"
"159","B9",1,"AMPE","AMSP",1,"AMPE AMSP"
"160","B9",1,"LUCI","PAMU",66,"LUCI PAMU"
"161","B9",1,"PARA","ARSP",1,"PARA ARSP"
"162","B9",1,"SPIO","PAPI",1,"SPIO PAPI"
"163","B9",2,"CAPI","N_A",1,"CAPI N_A"
"164","B9",2,"LUCI","PAMU",93,"LUCI PAMU"
"165","B9",2,"SPIO","PAPI",2,"SPIO PAPI"
"166","B9",3,"CIRR","THSP",1,"CIRR THSP"
"167","B9",3,"ISCH","CESP",1,"ISCH CESP"
"168","B9",3,"LUCI","PAMU",64,"LUCI PAMU"
