"","station","easting","northing","sample","total"
"1","B1",294432,3239364,1,10
"2","B1",294432,3239364,2,5
"3","B1",294432,3239364,3,8
"4","B10",295881,3238715,1,4
"5","B10",295881,3238715,2,3
"6","B10",295881,3238715,3,2
"7","B11",296825,3238004,1,3
"8","B11",296825,3238004,2,4
"9","B11",296825,3238004,3,7
"10","B12",297498,3236988,1,5
"11","B12",297498,3236988,2,6
"12","B12",297498,3236988,3,5
"13","B13",294437,3237981,1,5
"14","B13",294437,3237981,2,8
"15","B13",294437,3237981,3,7
"16","B14",295545,3236081,1,13
"17","B14",295545,3236081,2,16
"18","B14",295545,3236081,3,12
"19","B2",296319,3237017,1,7
"20","B2",296319,3237017,2,5
"21","B2",296319,3237017,3,7
"22","B3",296853,3235394,1,8
"23","B3",296853,3235394,2,8
"24","B3",296853,3235394,3,6
"25","B4",296657,3235300,1,7
"26","B4",296657,3235300,2,11
"27","B4",296657,3235300,3,6
"28","B5",295777,3237081,1,2
"29","B5",295777,3237081,2,5
"30","B5",295777,3237081,3,3
"31","B6",294201,3239292,1,10
"32","B6",294201,3239292,2,11
"33","B6",294201,3239292,3,9
"34","B7",296136,3239476,1,4
"35","B7",296136,3239476,2,7
"36","B7",296136,3239476,3,9
"37","B8",297806,3238300,1,3
"38","B8",297806,3238300,2,7
"39","B8",297806,3238300,3,4
"40","B9",297582,3235502,1,8
"41","B9",297582,3235502,2,9
"42","B9",297582,3235502,3,7
